size,p_nu,p_alpha,p_beta,p_mu,p_lambda,q_95,q_99,p_tex
1000,0.15,-0.5,0,0.7,0.1,0.943803979461217,2.11237806468166,"n_ 1 _nu_ 1 _alpha_ 1 _beta_ 1 _mu_ 1 _lambda_ 1.csv"
1000,0.15,-0.5,0,0.7,0.6,1.07105669333464,2.02225015984166,"n_ 1 _nu_ 1 _alpha_ 1 _beta_ 1 _mu_ 1 _lambda_ 2.csv"
1000,0.15,-0.5,0,0.7,1.1,1.03557452516225,1.87420971213763,"n_ 1 _nu_ 1 _alpha_ 1 _beta_ 1 _mu_ 1 _lambda_ 3.csv"
1000,0.15,-0.5,0,0.7,4,0.874544363408664,1.46971789506051,"n_ 1 _nu_ 1 _alpha_ 1 _beta_ 1 _mu_ 1 _lambda_ 4.csv"
1000,0.15,-0.5,0,1.8,0.1,0.92137742404751,2.19831249624671,"n_ 1 _nu_ 1 _alpha_ 1 _beta_ 1 _mu_ 2 _lambda_ 1.csv"
1000,0.15,-0.5,0,1.8,0.6,1.16178875701372,2.20095657135994,"n_ 1 _nu_ 1 _alpha_ 1 _beta_ 1 _mu_ 2 _lambda_ 2.csv"
1000,0.15,-0.5,0,1.8,1.1,1.1494505902717,2.07190783979485,"n_ 1 _nu_ 1 _alpha_ 1 _beta_ 1 _mu_ 2 _lambda_ 3.csv"
1000,0.15,-0.5,0,1.8,4,1.00923924076071,1.67946025059101,"n_ 1 _nu_ 1 _alpha_ 1 _beta_ 1 _mu_ 2 _lambda_ 4.csv"
1000,0.15,0.05,0,0.7,0.1,5.22171218228851,9.75842709418805,"n_ 1 _nu_ 1 _alpha_ 2 _beta_ 1 _mu_ 1 _lambda_ 1.csv"
1000,0.15,0.05,0,0.7,0.6,2.44319263982324,4.23012644054821,"n_ 1 _nu_ 1 _alpha_ 2 _beta_ 1 _mu_ 1 _lambda_ 2.csv"
1000,0.15,0.05,0,0.7,1.1,1.9519732188573,3.28905638184907,"n_ 1 _nu_ 1 _alpha_ 2 _beta_ 1 _mu_ 1 _lambda_ 3.csv"
1000,0.15,0.05,0,0.7,4,1.26099289852341,2.01199885397939,"n_ 1 _nu_ 1 _alpha_ 2 _beta_ 1 _mu_ 1 _lambda_ 4.csv"
1000,0.15,0.05,0,1.8,0.1,5.86822089821028,10.5190020195449,"n_ 1 _nu_ 1 _alpha_ 2 _beta_ 1 _mu_ 2 _lambda_ 1.csv"
1000,0.15,0.05,0,1.8,0.6,2.85724937603998,4.73294675449364,"n_ 1 _nu_ 1 _alpha_ 2 _beta_ 1 _mu_ 2 _lambda_ 2.csv"
1000,0.15,0.05,0,1.8,1.1,2.31252094460583,3.7337201729865,"n_ 1 _nu_ 1 _alpha_ 2 _beta_ 1 _mu_ 2 _lambda_ 3.csv"
1000,0.15,0.05,0,1.8,4,1.53029538298811,2.35620826610769,"n_ 1 _nu_ 1 _alpha_ 2 _beta_ 1 _mu_ 2 _lambda_ 4.csv"
1000,0.15,0.2,0,0.7,0.1,8.33933154023222,15.3756877725247,"n_ 1 _nu_ 1 _alpha_ 3 _beta_ 1 _mu_ 1 _lambda_ 1.csv"
1000,0.15,0.2,0,0.7,0.6,3.01836378513454,5.17210578411132,"n_ 1 _nu_ 1 _alpha_ 3 _beta_ 1 _mu_ 1 _lambda_ 2.csv"
1000,0.15,0.2,0,0.7,1.1,2.29273916521901,3.82510458404469,"n_ 1 _nu_ 1 _alpha_ 3 _beta_ 1 _mu_ 1 _lambda_ 3.csv"
1000,0.15,0.2,0,0.7,4,1.38305261075517,2.18620458468202,"n_ 1 _nu_ 1 _alpha_ 3 _beta_ 1 _mu_ 1 _lambda_ 4.csv"
1000,0.15,0.2,0,1.8,0.1,9.38328590720754,16.5790255236421,"n_ 1 _nu_ 1 _alpha_ 3 _beta_ 1 _mu_ 2 _lambda_ 1.csv"
1000,0.15,0.2,0,1.8,0.6,3.55092680618691,5.80109381628249,"n_ 1 _nu_ 1 _alpha_ 3 _beta_ 1 _mu_ 2 _lambda_ 2.csv"
1000,0.15,0.2,0,1.8,1.1,2.73559230403821,4.3561032941973,"n_ 1 _nu_ 1 _alpha_ 3 _beta_ 1 _mu_ 2 _lambda_ 3.csv"
1000,0.15,0.2,0,1.8,4,1.69233056027713,2.57130117456046,"n_ 1 _nu_ 1 _alpha_ 3 _beta_ 1 _mu_ 2 _lambda_ 4.csv"
1000,0.15,0.7,0,0.7,0.1,21.8185638364568,39.8034662320974,"n_ 1 _nu_ 1 _alpha_ 4 _beta_ 1 _mu_ 1 _lambda_ 1.csv"
1000,0.15,0.7,0,0.7,0.6,5.44415648932614,9.17781178543514,"n_ 1 _nu_ 1 _alpha_ 4 _beta_ 1 _mu_ 1 _lambda_ 2.csv"
1000,0.15,0.7,0,0.7,1.1,3.67747405286515,6.02462979431499,"n_ 1 _nu_ 1 _alpha_ 4 _beta_ 1 _mu_ 1 _lambda_ 3.csv"
1000,0.15,0.7,0,0.7,4,1.83956346659194,2.84536947265742,"n_ 1 _nu_ 1 _alpha_ 4 _beta_ 1 _mu_ 1 _lambda_ 4.csv"
1000,0.15,0.7,0,1.8,0.1,24.5487523998164,42.9155601204796,"n_ 1 _nu_ 1 _alpha_ 4 _beta_ 1 _mu_ 2 _lambda_ 1.csv"
1000,0.15,0.7,0,1.8,0.6,6.45096110649996,10.3256636429897,"n_ 1 _nu_ 1 _alpha_ 4 _beta_ 1 _mu_ 2 _lambda_ 2.csv"
1000,0.15,0.7,0,1.8,1.1,4.43686161152239,6.89659313524338,"n_ 1 _nu_ 1 _alpha_ 4 _beta_ 1 _mu_ 2 _lambda_ 3.csv"
1000,0.15,0.7,0,1.8,4,2.29179666212754,3.3795470223427,"n_ 1 _nu_ 1 _alpha_ 4 _beta_ 1 _mu_ 2 _lambda_ 4.csv"
1000,0.15,2,0,0.7,0.1,60.0676218716861,109.366225896393,"n_ 1 _nu_ 1 _alpha_ 5 _beta_ 1 _mu_ 1 _lambda_ 1.csv"
1000,0.15,2,0,0.7,0.6,13.1453448092027,21.9957314892288,"n_ 1 _nu_ 1 _alpha_ 5 _beta_ 1 _mu_ 1 _lambda_ 2.csv"
